film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Enrico Caruso - Leggenda di una voce,1951,Italy,nm0313124,October,1951,Italy,Asso Film,"nm0709790, nm0518178, nm0768684, nm0819477, nm0224127, nm0894478, nm0850950, nm0681441, nm0076464, nm0743102, nm1178764, nm0759031, nm0762718, nm0848445, nm0274110, nm0819010, nm1179824, nm1575226, nm1569370, nm0162554, nm3556889, nm0208264, nm0646742, nm0800563",tt0043505
Marcella,1915,Italy,nm0624511,December,1915,Italy,Tiber-film,"nm0137706, nm0172822, nm0212191, nm0381428, nm0597903",tt1063629
Seconda B,1934,Italy,nm0018136,,,,Industrie Cinematografiche Artistiche Romane (I.C.A.R.),"nm0865493, nm0672809, nm0219166, nm0149085, nm0957867, nm0755351, nm0109266, nm0899262, nm0553335, nm0812163, nm0809130, nm2134589, nm0685066, nm0408490, nm2131967, nm0045263, nm0044543, nm0697763, nm4723019, nm0187642, nm0481343, nm0664518, nm2133681, nm0079338, nm0080586, nm1021252, nm1505360, nm4722958, nm4723043, nm1549276, nm1549379, nm4722967, nm4722978, nm4723038, nm4723012, nm4723040, nm4722964, nm0723052, nm4723035, nm4723013, nm4722977, nm4723001, nm4722960, nm4723014, nm1847068, nm4723034, nm0699753, nm4722959, nm4723015, nm0951504",tt0025757
L'ostacolo,1915,Italy,nm0624511,November,1915,Italy,Milano Film,"nm0215956, nm0381428, nm0785802",tt1063640
L'orgoglio,1918,Italy,nm0070374,June,1918,Italy,"Bertini Film, Caesar Film","nm0078116, nm0872195, nm0286480, nm1295234, nm0598712",tt0009457
L'anima del demi-monde,1913,Italy,nm0624511,,,,,nm0078116,tt0254093
La pantomima della morte,1915,Italy,nm0143333,December,1915,Italy,Caserini Film,"nm0094801, nm0143332, nm0264693, nm0350524, nm0743102",tt0215030
Il principe dell'impossibile,1919,Italy,nm0312866,March,1919,Italy,Itala Film,"nm0749431, nm0538729, nm0144302, nm0754636",tt0195186
Dopo la morte,1913,Italy,nm0030748,September,1913,Italy,Società Italiana Cines,"nm0381428, nm0596837, nm0526921, nm0350524",tt0169785
Forza ed astuzia,1912,Italy,,December,1912,Italy,Società Italiana Cines,"nm0381428, nm0526921",tt1027052
L'amore sognato,1915,Italy,nm0303120,February,1915,Italy,Società Italiana Cines,"nm1216023, nm1271564, nm0303122",tt1047579
Il ballo della morte,1912,Italy,nm1193022,,1912,Italy,Savoia Film,"nm2674381, nm0414294, nm0518359",tt1041691
Bufera,1926,Italy,nm0209741,March,1926,Italy,De Liguoro Film,"nm0070959, nm0117874, nm0168059, nm0209740, nm0345223, nm1302467",tt0158526
Il rubino del destino,1914,Italy,nm0959921,January,1914,Italy,Milano Film,"nm0667546, nm0109266, nm0757369, nm0762408",tt1080987
Bigamie,1927,Germany,nm0818423,September,1927,Germany,Terra-Filmkunst,"nm0313447, nm0414294, nm0234088, nm0893952, nm0519765, nm0585785, nm0262134, nm0728818, nm0286097, nm0720751, nm0382357, nm0511183, nm0726256, nm0774114",tt0017673
Femmina e madre,1928,Italy,,,,,,"nm0209740, nm0208566",tt0172442
Il destino,1916,Italy,nm0784988,April,1916,Italy,Caesar Film,"nm0070959, nm0078116, nm1296632, nm0207107",tt0167890
La perla del cinema,1916,Italy,nm0209738,January,1916,Italy,Caesar Film,"nm0070959, nm0078116, nm0207107, nm0209738, nm0211158, nm0784988",tt0193415
Il bacio dell'arte,1917,Italy,,September,1917,Italy,Tiber-film,"nm0144302, nm0172822, nm0414293, nm0526921, nm0553335",tt1041690
L'ereditiera,1915,Italy,nm0624511,March,1915,Italy,Milano Film,"nm0381428, nm0032106, nm0667546, nm0757369",tt0171274
Dopo la raffica,1916,Italy,nm0407846,June,1916,Italy,Celio Film,"nm0302942, nm0350524, nm1294774",tt1045074
La signora dalle rose,1919,Italy,nm0439188,November,1919,Italy,Tiber-film,"nm0144302, nm0352120, nm0439188, nm0448656, nm0663286",tt0903987
La trappola,1922,Italy,nm0673035,June,1922,Italy,Monopolio Lombardo,"nm0350524, nm0743102, nm0264693, nm0718580, nm1098519",tt0822039
Le pioniere della macchina da presa,1993,Italy,nm0265782,,1993,,RAI Radiotelevisione Italiana,"nm0131145, nm0144313, nm0195176, nm0439188, nm0636528, nm1269902, nm1281320, nm1856511",tt0452377
Una tazza di the,1923,Italy,nm2669873,July,1923,Italy,Selecta-Toddi,"nm2667128, nm0414293, nm0539011, nm0597899, nm0682595, nm2669292",tt1041854
La storia di un peccato,1918,Italy,nm0303120,April,1918,Italy,Film D'Eccezione,"nm0303122, nm1035410, nm1300327, nm0658551, nm0663286, nm0872195",tt0209361
I contrabbandieri di Bell'Orrido,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm1295384, nm0137706, nm0557831, nm0579618",tt0963284
Il bacio della zingara,1913,Italy,,October,1913,Italy,Itala Film,"nm0021935, nm0544490, nm1269629",tt0454079
Treno di piacere,1924,Italy,nm0233631,November,1924,Italy,Fert Film,"nm0051737, nm0076131, nm0082101, nm0172822, nm2498268, nm0664698, nm0688787, nm0693529, nm0702894, nm0757369, nm0762718, nm0785378",tt0928075
Quartier Latin,1929,Germany,nm0312866,April,1929,Denmark,Orplid-Film GmbH,"nm0544539, nm0094529, nm0858917, nm0678323, nm0415199, nm0102916, nm0051737, nm0653076, nm0830135, nm0082101, nm0275200",tt0020297
Il velo d'Iside,1913,Italy,nm0654581,July,1913,Italy,Savoia Film,"nm0414294, nm0518359, nm0626131, nm2562341, nm1530196",tt0215317
La valigia dei sogni,1953,Italy,nm0173728,October,1953,Italy,Mambretti Film,"nm0578170, nm0143686, nm0728376, nm0240024, nm0538729, nm0547334, nm0131036, nm0883582, nm0157951, nm0547705, nm0898964, nm0093251, nm0212121, nm0851603, nm0021935, nm0078116, nm0096330, nm0135304, nm0138479, nm0161758, nm0244598, nm0304211, nm0546917, nm0000052, nm0579618, nm0637019, nm0656034, nm0681441, nm0784988, nm0951532",tt0046489
La casa degli scapoli,1923,Italy,nm0657535,August,1923,Italy,Palermi Film,"nm0098700, nm2671797, nm0264607, nm0277765, nm1916496, nm0414293, nm0448656, nm0667546, nm2447058, nm0823042",tt1041701
Justice de femme!,1917,Italy,nm0439188,August,1917,Italy,David-Karenne Film,"nm0135421, nm0439188, nm2458830",tt0903870
Villa Falconieri,1928,"Germany, Italy",nm0652650,March,1929,Italy,"Richard-Oswald-Produktion, Societa Anonima Stefano Pittaluga","nm0414294, nm0836765, nm0336618, nm0572135, nm0762718, nm0401555, nm0274034, nm0082101",tt0435512
Straccetto,1916,Italy,nm1250893,December,1916,Italy,Società Anonima Ambrosio,"nm0135421, nm0187642, nm0538729, nm0603065",tt0965681
La madonnina dei marinari,1928,Italy,nm0215516,March,1928,Italy,Lombardo Film,"nm0350524, nm1292464, nm1270090, nm2456886, nm0208352, nm1707962, nm0626197, nm0718580",tt0385070
Il romanzo,1913,Italy,nm0554245,August,1913,Italy,Società Italiana Cines,"nm1271564, nm0303120, nm0303122, nm0557831, nm0579618, nm1273032",tt0200059
La locanda delle ombre,1923,Italy,"nm0407846, nm0624511",March,1923,Italy,E.D.A.,"nm0381428, nm0670968, nm0448656, nm0757369, nm0333309, nm0824971, nm1267810, nm0211424, nm0688787",tt0349735
La colpa altrui,1916,Italy,nm1004886,January,1916,Italy,Celio Film,nm0078116,tt0166130
Cosmopolis,1920,Italy,nm0712304,January,1920,Italy,Società Italiana Cines,"nm0135421, nm0195903, nm0874482, nm0684960, nm0682204, nm0762718, nm0526266, nm0345223, nm0078261, nm0137457, nm0771160, nm0280787, nm1400946",tt0193840
